game_id,away_team,home_team,game_date,snap1_time,snap2_time,ml_away_open,ml_away_now,ml_away_move,ml_home_open,ml_home_now,ml_home_move,total_open,total_now,total_move,ml_signal,total_signal,sharp_side,timestamp
c3a389932a73d413d0f0e503a36712ea,Houston Astros,Cleveland Guardians,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,122,122,0.0,-144,-144,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
1d3c338edb1851414b920c5e62833c42,Cincinnati Reds,Tampa Bay Rays,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,-113,-113,0.0,-105,-105,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
bce74dac7fe3dd7ecf80111287a3dd34,Milwaukee Brewers,Detroit Tigers,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,-104,-104,0.0,-113,-113,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
5e611c984388d54390d6d9a5518d84be,St. Louis Cardinals,Miami Marlins,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,-62,-63,-1.0,-115,-115,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
b1f2c684186f6906566a63d457c86009,Atlanta Braves,Washington Nationals,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,-136,-136,0.0,115,115,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
d5285248b8322f4781920eb06d586c63,New York Yankees,Boston Red Sox,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,-20,-20,0.0,-117,-117,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
e56e51d0e26b298582dc9ebe9dcf1e22,Minnesota Twins,New York Mets,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,151,151,0.0,-180,-180,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
b1a87295d83bffd8d9d702ba76f4b1bd,Baltimore Orioles,Kansas City Royals,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,110,110,0.0,-129,-129,0.0,9,9,0.0,STABLE,STABLE,,2026-04-21 10:31:08
fd082c9fac90847ff16ee7691851778f,Philadelphia Phillies,Chicago Cubs,2026-04-21,2026-04-21T14:29:53Z,2026-04-21T14:31:08Z,61,61,0.0,-119,-119,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:08
c3a389932a73d413d0f0e503a36712ea,Houston Astros,Cleveland Guardians,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,122,122,0.0,-144,-144,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
1d3c338edb1851414b920c5e62833c42,Cincinnati Reds,Tampa Bay Rays,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,-113,-113,0.0,-105,-105,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
bce74dac7fe3dd7ecf80111287a3dd34,Milwaukee Brewers,Detroit Tigers,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,-104,-104,0.0,-113,-113,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
5e611c984388d54390d6d9a5518d84be,St. Louis Cardinals,Miami Marlins,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,-63,-63,0.0,-115,-115,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
b1f2c684186f6906566a63d457c86009,Atlanta Braves,Washington Nationals,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,-136,-136,0.0,115,115,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
d5285248b8322f4781920eb06d586c63,New York Yankees,Boston Red Sox,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,-20,-20,0.0,-117,-117,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
e56e51d0e26b298582dc9ebe9dcf1e22,Minnesota Twins,New York Mets,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,151,151,0.0,-180,-180,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
b1a87295d83bffd8d9d702ba76f4b1bd,Baltimore Orioles,Kansas City Royals,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,110,110,0.0,-129,-129,0.0,9,9,0.0,STABLE,STABLE,,2026-04-21 10:31:38
fd082c9fac90847ff16ee7691851778f,Philadelphia Phillies,Chicago Cubs,2026-04-21,2026-04-21T14:31:08Z,2026-04-21T14:31:38Z,61,61,0.0,-119,-119,0.0,8,8,0.0,STABLE,STABLE,,2026-04-21 10:31:38
