game_id,away_team,home_team,game_date,snap1_time,snap2_time,ml_away_open,ml_away_now,ml_away_move,ml_home_open,ml_home_now,ml_home_move,total_open,total_now,total_move,ml_signal,total_signal,sharp_side,timestamp
779cfb39de4fd07ffa6e5e9e2a7fec4d,Kansas City Royals,New York Yankees,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,146,146,0.0,-173,-173,0.0,8,8,0.0,STABLE,STABLE,,2026-04-18 07:00:07
e2145c6f89c91d068baad1ef60cb1205,Cincinnati Reds,Minnesota Twins,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,114,114,0.0,-133,-133,0.0,8,8,0.0,STABLE,STABLE,,2026-04-18 07:00:07
2ea66f343279c5bb39b4cb87f04810e7,New York Mets,Chicago Cubs,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,-24,-66,-42.0,-113,-111,2.0,8,8,0.0,STEAM,STABLE,New York Mets,2026-04-18 07:00:07
c3b12d49874633d7b722325998bebdd3,Chicago White Sox,Athletics,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,137,138,1.0,-161,-162,-1.0,10,10,0.0,STABLE,STABLE,,2026-04-18 07:00:07
9b611b49a26ba77a07349b2b50bab4ad,Tampa Bay Rays,Pittsburgh Pirates,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,141,141,0.0,-166,-166,0.0,7,7,0.0,STABLE,STABLE,,2026-04-18 07:00:07
ff3a4cea8f327d320fac1af61a34e8c3,San Francisco Giants,Washington Nationals,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,-116,-116,0.0,-22,-22,0.0,10,10,0.0,STABLE,STABLE,,2026-04-18 07:00:07
53626d17dd82b37d118427fbbb6fda67,Detroit Tigers,Boston Red Sox,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,-173,-173,0.0,146,146,0.0,7,7,0.0,STABLE,STABLE,,2026-04-18 07:00:07
f191de07e9e709e1723e5815840236c0,Milwaukee Brewers,Miami Marlins,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,-107,-107,0.0,-111,-110,1.0,8,8,0.0,STABLE,STABLE,,2026-04-18 07:00:07
38325b462bdab2c582eec8fa2fe82395,Baltimore Orioles,Cleveland Guardians,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,115,115,0.0,-136,-136,0.0,8,8,0.0,STABLE,STABLE,,2026-04-18 07:00:07
23317fc37d8b970abb36b16450935fe2,St. Louis Cardinals,Houston Astros,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,129,129,0.0,-152,-152,0.0,9,9,0.0,STABLE,STABLE,,2026-04-18 07:00:07
912d3bf4c4f1b996c5903aa3b6e3bc2a,Atlanta Braves,Philadelphia Phillies,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,109,109,0.0,-127,-127,0.0,7,7,0.0,STABLE,STABLE,,2026-04-18 07:00:07
b4b4c5e63320cc913bd4ac9d7c447f23,Texas Rangers,Seattle Mariners,2026-04-18,2026-04-18T10:42:14Z,2026-04-18T11:00:06Z,124,124,0.0,-146,-146,0.0,7,7,0.0,STABLE,STABLE,,2026-04-18 07:00:07
