game_id,away_team,home_team,game_date,snap1_time,snap2_time,ml_away_open,ml_away_now,ml_away_move,ml_home_open,ml_home_now,ml_home_move,total_open,total_now,total_move,ml_signal,total_signal,sharp_side,timestamp
74f39156689a078022ede0ab999cd304,Washington Nationals,Pittsburgh Pirates,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,137,138,1.0,-162,-162,0.0,9,9,0.0,STABLE,STABLE,,2026-04-16 07:03:25
58f0238587c37c6200e35bece1cdc6a2,San Francisco Giants,Cincinnati Reds,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,109,109,0.0,-128,-128,0.0,8,8,0.0,STABLE,STABLE,,2026-04-16 07:03:25
01461c715fdcb8321ca3e4ed2762e436,Kansas City Royals,Detroit Tigers,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,-112,-111,1.0,-65,-106,-41.0,8,8,0.0,STABLE,STABLE,Detroit Tigers,2026-04-16 07:03:25
25ef39bccec531e95be4427ad60576d2,Los Angeles Angels,New York Yankees,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,222,222,0.0,-276,-276,0.0,10,10,0.0,STABLE,STABLE,,2026-04-16 07:03:25
d28f023fdea4d8299ebf509d22707293,Toronto Blue Jays,Milwaukee Brewers,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,108,108,0.0,-127,-127,0.0,8,8,0.0,STABLE,STABLE,,2026-04-16 07:03:25
99d0656dfdf7a804df87e510c4687f62,Tampa Bay Rays,Chicago White Sox,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,-126,-124,2.0,107,106,-1.0,8,8,0.0,STABLE,STABLE,,2026-04-16 07:03:25
1be686414809592c870949866675b3f0,Texas Rangers,Athletics,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,-117,-116,1.0,59,18,-41.0,9,9,0.0,STABLE,STABLE,Athletics,2026-04-16 07:03:25
50a6b335289549d2d3f41d9072e8d031,Baltimore Orioles,Cleveland Guardians,2026-04-16,2026-04-16T09:19:51Z,2026-04-16T11:03:25Z,106,106,0.0,-125,-125,0.0,8,8,0.0,STABLE,STABLE,,2026-04-16 07:03:25
74f39156689a078022ede0ab999cd304,Washington Nationals,Pittsburgh Pirates,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,138,131,-7.0,-162,-154,8.0,9,9,0.0,DRIFT,STABLE,Washington Nationals,2026-04-16 08:52:45
58f0238587c37c6200e35bece1cdc6a2,San Francisco Giants,Cincinnati Reds,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,109,109,0.0,-128,-128,0.0,8,8,0.0,STABLE,STABLE,,2026-04-16 08:52:45
01461c715fdcb8321ca3e4ed2762e436,Kansas City Royals,Detroit Tigers,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,-111,-118,-7.0,-106,61,167.0,8,8,0.0,DRIFT,STABLE,Kansas City Royals,2026-04-16 08:52:45
25ef39bccec531e95be4427ad60576d2,Los Angeles Angels,New York Yankees,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,222,230,8.0,-276,-280,-4.0,10,10,0.0,STEAM,STABLE,New York Yankees,2026-04-16 08:52:45
d28f023fdea4d8299ebf509d22707293,Toronto Blue Jays,Milwaukee Brewers,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,108,109,1.0,-127,-128,-1.0,8,8,0.0,STABLE,STABLE,,2026-04-16 08:52:45
99d0656dfdf7a804df87e510c4687f62,Tampa Bay Rays,Chicago White Sox,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,-124,-124,0.0,106,106,0.0,8,8,0.0,STABLE,STABLE,,2026-04-16 08:52:45
1be686414809592c870949866675b3f0,Texas Rangers,Athletics,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,-116,-116,0.0,18,19,1.0,9,9,0.0,STABLE,STABLE,,2026-04-16 08:52:45
50a6b335289549d2d3f41d9072e8d031,Baltimore Orioles,Cleveland Guardians,2026-04-16,2026-04-16T11:03:25Z,2026-04-16T12:52:45Z,106,105,-1.0,-125,-123,2.0,8,8,0.0,STABLE,STABLE,,2026-04-16 08:52:45
