date,game,type,label,conf,tier,reasoning
2026-04-19,New York Mets @ Chicago Cubs,ML,Chicago Cubs ML,0.9,LOCK,David Peterson ERA 4.23 vs Javier Assad ERA 3.35 | Recent: New York Mets 1.8 RPG (0% W) | Chicago Cubs 10.0 RPG (75% W) | 💰 STEAM: Sharp $ on Chicago Cubs (WITH model)
2026-04-19,Kansas City Royals @ New York Yankees,ML,New York Yankees ML,0.8007,LOCK,Cole Ragans ERA 4.57 vs Ryan Weathers ERA 3.64 | Recent: Kansas City Royals 3.2 RPG (0% W) | New York Yankees 5.0 RPG (60% W)
2026-04-19,Detroit Tigers @ Boston Red Sox,TOTAL,UNDER 8.8,0.74,LOCK,Model projects 6.9 runs vs 8.8 line (1.9 run edge) | Elite pitching matchup (avg ERA 3.35)
2026-04-19,Baltimore Orioles @ Cleveland Guardians,TOTAL,UNDER 8.4,0.74,LOCK,Model projects 6.6 runs vs 8.4 line (1.8 run edge) | Elite pitching matchup (avg ERA 2.67)
2026-04-19,St. Louis Cardinals @ Houston Astros,TOTAL,OVER 8.5,0.74,LOCK,Model projects 10.3 runs vs 8.5 line (1.8 run edge)
2026-04-19,San Diego Padres @ Los Angeles Angels,TOTAL,OVER 8.3,0.74,LOCK,Model projects 11.0 runs vs 8.3 line (2.7 run edge) | Weak pitching matchup (avg ERA 5.33)
2026-04-19,Milwaukee Brewers @ Miami Marlins,ML,Miami Marlins ML,0.7257,LOCK,Jacob Misiorowski ERA 4.71 vs Eury Pérez ERA 3.85 | Recent: Milwaukee Brewers 4.5 RPG (75% W) | Miami Marlins 5.8 RPG (25% W) | 💰 STEAM: Sharp $ on Miami Marlins (WITH model) | Pitcher park (96.0)
2026-04-19,Texas Rangers @ Seattle Mariners,TOTAL,UNDER 8.4,0.7243,LOCK,Model projects 6.8 runs vs 8.4 line (1.6 run edge) | Elite pitching matchup (avg ERA 3.46)
2026-04-19,Atlanta Braves @ Philadelphia Phillies,ML,Atlanta Braves ML,0.7241,LOCK,Grant Holmes ERA 4.45 (home SP TBD) | Recent: Atlanta Braves 6.2 RPG (75% W) | Philadelphia Phillies 4.8 RPG (25% W) | 💰 STEAM: Sharp $ on Atlanta Braves (WITH model)
2026-04-19,Toronto Blue Jays @ Arizona Diamondbacks,ML,Arizona Diamondbacks ML,0.7166,LOCK,Kevin Gausman ERA 3.51 vs Ryne Nelson ERA 3.19 | Recent: Toronto Blue Jays 3.5 RPG (25% W) | Arizona Diamondbacks 6.2 RPG (75% W)
2026-04-19,New York Mets @ Chicago Cubs,RL,Chicago Cubs -1.5,0.7,LOCK,ML conf 90% | Projected margin 4.3 runs | Chicago Cubs 75% W last 10
2026-04-19,Atlanta Braves @ Philadelphia Phillies,TOTAL,OVER 8.8,0.7,LOCK,Model projects 10.2 runs vs 8.8 line (1.4 run edge)
2026-04-19,Milwaukee Brewers @ Miami Marlins,TOTAL,OVER 8.2,0.6843,LOCK,Model projects 9.5 runs vs 8.2 line (1.3 run edge) | Pitcher-friendly park (factor 96.0)
2026-04-19,Kansas City Royals @ New York Yankees,RL,New York Yankees -1.5,0.6606,STRONG,ML conf 80% | Projected margin 2.9 runs
2026-04-19,New York Mets @ Chicago Cubs,TOTAL,OVER 8.8,0.66,STRONG,Model projects 9.9 runs vs 8.8 line (1.1 run edge)
2026-04-19,Los Angeles Dodgers @ Colorado Rockies,ML,Los Angeles Dodgers ML,0.6583,STRONG,Roki Sasaki ERA 4.47 vs Michael Lorenzen ERA 4.30 | Recent: Los Angeles Dodgers 5.2 RPG (100% W) | Colorado Rockies 2.8 RPG (25% W) | 💰 STEAM: Sharp $ on Colorado Rockies (AGAINST model) | Hitter park (117.0)
2026-04-19,San Francisco Giants @ Washington Nationals,TOTAL,OVER 8.5,0.6514,STRONG,Model projects 9.6 runs vs 8.5 line (1.1 run edge)
2026-04-19,Detroit Tigers @ Boston Red Sox,ML,Boston Red Sox ML,0.6427,STRONG,Framber Valdez ERA 3.97 vs Garrett Crochet ERA 2.72 | Recent: Detroit Tigers 3.5 RPG (75% W) | Boston Red Sox 4.0 RPG (50% W) | 💰 DRIFT: Sharp $ on Boston Red Sox (WITH model)
2026-04-19,Los Angeles Dodgers @ Colorado Rockies,TOTAL,OVER 9.9,0.5971,LEAN,Model projects 10.6 runs vs 9.9 line (0.7 run edge) | Coors-level hitter park (factor 117.0)
2026-04-19,Toronto Blue Jays @ Arizona Diamondbacks,RL,Arizona Diamondbacks -1.5,0.5933,LEAN,ML conf 72% | Projected margin 1.8 runs | Arizona Diamondbacks 75% W last 10
2026-04-19,Los Angeles Dodgers @ Colorado Rockies,RL,Los Angeles Dodgers -1.5,0.5866,LEAN,ML conf 66% | Projected margin 2.9 runs | Los Angeles Dodgers 100% W last 10
2026-04-19,St. Louis Cardinals @ Houston Astros,ML,St. Louis Cardinals ML,0.5708,LEAN,Matthew Liberatore ERA 4.30 vs Mike Burrows ERA 3.88 | Recent: St. Louis Cardinals 5.8 RPG (75% W) | Houston Astros 3.6 RPG (40% W) | 💰 DRIFT: Sharp $ on St. Louis Cardinals (WITH model)
2026-04-19,Tampa Bay Rays @ Pittsburgh Pirates,TOTAL,OVER 8.3,0.5643,LEAN,Model projects 8.8 runs vs 8.3 line (0.4 run edge)
2026-04-19,Milwaukee Brewers @ Miami Marlins,RL,Miami Marlins -1.5,0.5606,LEAN,ML conf 73% | Projected margin 1.6 runs | Miami Marlins 25% W last 10
