date,game,type,label,conf,tier,reasoning
2026-04-22,Philadelphia Phillies @ Chicago Cubs,ML,Chicago Cubs ML,0.8122,LOCK,Away SP TBD vs Matthew Boyd ERA 3.00 | Recent: Philadelphia Phillies 3.3 RPG (14% W) | Chicago Cubs 7.3 RPG (86% W)
2026-04-22,Chicago White Sox @ Arizona Diamondbacks,TOTAL,OVER 8.6,0.73,LOCK,Model projects 10.7 runs vs 8.6 line (2.1 run edge)
2026-04-22,New York Yankees @ Boston Red Sox,ML,New York Yankees ML,0.7241,LOCK,Max Fried ERA 2.99 [NEUTRAL] (home SP TBD) | Recent: New York Yankees 6.4 RPG (71% W) | Boston Red Sox 3.9 RPG (43% W)
2026-04-22,Athletics @ Seattle Mariners,ML,Seattle Mariners ML,0.7055,LOCK,Aaron Civale ERA 4.53 vs Logan Gilbert ERA 3.08 | Recent: Athletics 4.2 RPG (50% W) | Seattle Mariners 3.9 RPG (38% W)
2026-04-22,Houston Astros @ Cleveland Guardians,TOTAL,OVER 8.4,0.6829,LOCK,Model projects 9.8 runs vs 8.4 line (1.3 run edge)
2026-04-22,Philadelphia Phillies @ Chicago Cubs,RL,Chicago Cubs -1.5,0.6538,STRONG,ML conf 81% | Projected margin 3.1 runs | Chicago Cubs 86% W last 10
2026-04-22,Atlanta Braves @ Washington Nationals,ML,Atlanta Braves ML,0.6457,STRONG,Martín Pérez ERA 3.97 vs Zack Littell ERA 3.77 | Recent: Atlanta Braves 5.9 RPG (86% W) | Washington Nationals 4.5 RPG (38% W)
2026-04-22,St. Louis Cardinals @ Miami Marlins,ML,Miami Marlins ML,0.6403,STRONG,Away SP TBD vs Janson Junk ERA 4.49 [NEUTRAL] | Recent: St. Louis Cardinals 5.7 RPG (71% W) | Miami Marlins 5.0 RPG (43% W) | 💰 STEAM: Sharp $ on Miami Marlins (WITH model) | Pitcher park (96.0)
2026-04-22,Los Angeles Dodgers @ San Francisco Giants,TOTAL,UNDER 8.1,0.6286,STRONG,Model projects 7.1 runs vs 8.1 line (1.0 run edge) | Pitcher-friendly park (factor 95.0) | Elite pitching matchup (avg ERA 2.99)
2026-04-22,Houston Astros @ Cleveland Guardians,ML,Cleveland Guardians ML,0.6265,STRONG,Away SP TBD vs Tanner Bibee ERA 3.93 | Recent: Houston Astros 4.6 RPG (38% W) | Cleveland Guardians 4.9 RPG (50% W) | 💰 STEAM: Sharp $ on Cleveland Guardians (WITH model)
2026-04-22,Philadelphia Phillies @ Chicago Cubs,TOTAL,OVER 8.8,0.6243,STRONG,Model projects 9.7 runs vs 8.8 line (0.9 run edge)
2026-04-22,St. Louis Cardinals @ Miami Marlins,TOTAL,OVER 8.2,0.6214,STRONG,Model projects 9.1 runs vs 8.2 line (0.9 run edge) | Pitcher-friendly park (factor 96.0)
2026-04-22,Los Angeles Dodgers @ San Francisco Giants,ML,San Francisco Giants ML,0.6133,LEAN,Away SP TBD vs Tyler Mahle ERA 1.78 | Recent: Los Angeles Dodgers 6.0 RPG (71% W) | San Francisco Giants 4.0 RPG (50% W) | Pitcher park (95.0)
2026-04-22,Baltimore Orioles @ Kansas City Royals,TOTAL,UNDER 8.5,0.5929,LEAN,Model projects 7.8 runs vs 8.5 line (0.7 run edge)
2026-04-22,New York Yankees @ Boston Red Sox,TOTAL,OVER 8.8,0.59,LEAN,Model projects 9.5 runs vs 8.8 line (0.7 run edge)
2026-04-22,New York Yankees @ Boston Red Sox,RL,New York Yankees -1.5,0.5833,LEAN,ML conf 72% | Projected margin 2.5 runs | New York Yankees 71% W last 10
2026-04-22,Athletics @ Seattle Mariners,TOTAL,UNDER 8.4,0.5829,LEAN,Model projects 7.8 runs vs 8.4 line (0.7 run edge)
2026-04-22,Athletics @ Seattle Mariners,RL,Seattle Mariners -1.5,0.5684,LEAN,ML conf 71% | Projected margin 1.4 runs
2026-04-22,Chicago White Sox @ Arizona Diamondbacks,ML,Arizona Diamondbacks ML,0.5612,LEAN,Away SP TBD vs Eduardo Rodriguez ERA 5.04 | Recent: Chicago White Sox 5.5 RPG (33% W) | Arizona Diamondbacks 5.8 RPG (67% W)
2026-04-22,Cincinnati Reds @ Tampa Bay Rays,TOTAL,OVER 8.2,0.56,LEAN,Model projects 8.7 runs vs 8.2 line (0.5 run edge) | Pitcher-friendly park (factor 96.0)
2026-04-22,Atlanta Braves @ Washington Nationals,TOTAL,OVER 8.5,0.56,LEAN,Model projects 9.0 runs vs 8.5 line (0.5 run edge)
2026-04-22,Minnesota Twins @ New York Mets,TOTAL,UNDER 8.2,0.56,LEAN,Model projects 7.7 runs vs 8.2 line (0.5 run edge)
2026-04-22,Baltimore Orioles @ Kansas City Royals,ML,Baltimore Orioles ML,0.5526,LEAN,Chris Bassitt ERA 4.41 vs Michael Wacha ERA 3.89 | Recent: Baltimore Orioles 4.8 RPG (38% W) | Kansas City Royals 3.1 RPG (0% W)
