date,game,type,label,conf,tier,reasoning
2026-04-21,Houston Astros @ Cleveland Guardians,ML,Cleveland Guardians ML,0.7843,LOCK,Away SP TBD vs Parker Messick ERA 2.65 [HOT] | Recent: Houston Astros 4.6 RPG (38% W) | Cleveland Guardians 4.9 RPG (50% W) | 💰 STEAM: Sharp $ on Cleveland Guardians (WITH model) | Line: Houston Astros +130 | Cleveland Guardians -153
2026-04-21,Philadelphia Phillies @ Chicago Cubs,ML,Chicago Cubs ML,0.7691,LOCK,Recent: Philadelphia Phillies 3.3 RPG (14% W) | Chicago Cubs 7.3 RPG (86% W) | 💰 STEAM: Sharp $ on Chicago Cubs (WITH model) | Line: Philadelphia Phillies +111 | Chicago Cubs -130
2026-04-21,St. Louis Cardinals @ Miami Marlins,TOTAL,OVER 8.0,0.74,LOCK,Model projects 11.2 runs vs 8.0 line (3.2 run edge) | Pitcher-friendly park (factor 96.0) | Weak pitching matchup (avg ERA 5.32)
2026-04-21,New York Yankees @ Boston Red Sox,TOTAL,OVER 8.0,0.74,LOCK,Model projects 10.4 runs vs 8.0 line (2.4 run edge)
2026-04-21,Philadelphia Phillies @ Chicago Cubs,TOTAL,OVER 8.0,0.74,LOCK,Model projects 10.5 runs vs 8.0 line (2.5 run edge)
2026-04-21,Minnesota Twins @ New York Mets,TOTAL,UNDER 8.0,0.73,LOCK,Model projects 6.4 runs vs 8.0 line (1.6 run edge) | Elite pitching matchup (avg ERA 2.88)
2026-04-21,Chicago White Sox @ Arizona Diamondbacks,TOTAL,OVER 8.6,0.7257,LOCK,Model projects 10.2 runs vs 8.6 line (1.6 run edge)
2026-04-21,Atlanta Braves @ Washington Nationals,TOTAL,OVER 8.0,0.7071,LOCK,Model projects 9.4 runs vs 8.0 line (1.4 run edge)
2026-04-21,Atlanta Braves @ Washington Nationals,ML,Atlanta Braves ML,0.7023,LOCK,Recent: Atlanta Braves 5.9 RPG (86% W) | Washington Nationals 4.5 RPG (38% W) | 💰 STEAM: Sharp $ on Atlanta Braves (WITH model) | Line: Atlanta Braves -153 | Washington Nationals +130
2026-04-21,San Diego Padres @ Colorado Rockies,TOTAL,UNDER 9.9,0.6571,STRONG,Model projects 8.8 runs vs 9.9 line (1.1 run edge) | Coors-level hitter park (factor 117.0)
2026-04-21,Toronto Blue Jays @ Los Angeles Angels,TOTAL,OVER 8.3,0.6443,STRONG,Model projects 9.3 runs vs 8.3 line (1.0 run edge)
2026-04-21,Chicago White Sox @ Arizona Diamondbacks,ML,Arizona Diamondbacks ML,0.6327,STRONG,Recent: Chicago White Sox 5.5 RPG (33% W) | Arizona Diamondbacks 5.8 RPG (67% W)
2026-04-21,Baltimore Orioles @ Kansas City Royals,TOTAL,UNDER 9.0,0.6171,LEAN,Model projects 8.2 runs vs 9.0 line (0.8 run edge)
